epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1999.39,2.4422,2.56981,2.61703,0.29835,0.21468,0.16725,0.05851,2.39659,2.61434,2.64352,0.0015941,0.0015941,0.0015941
43,2045.8,2.42006,2.52107,2.62305,0.18749,0.22018,0.10621,0.03431,2.4505,2.74213,2.67199,0.0015842,0.0015842,0.0015842
44,2092.56,2.41159,2.52992,2.64186,0.24717,0.25182,0.14452,0.04836,2.33268,2.63372,2.5692,0.0015743,0.0015743,0.0015743
45,2139.39,2.39786,2.45901,2.58299,0.31255,0.26606,0.2137,0.07705,2.34283,2.61268,2.58731,0.0015644,0.0015644,0.0015644
46,2186.28,2.35621,2.4442,2.56607,0.31425,0.25321,0.21002,0.08067,2.28192,2.48168,2.54766,0.0015545,0.0015545,0.0015545
47,2232.69,2.33711,2.35789,2.4791,0.29882,0.28257,0.21112,0.08335,2.2164,2.39951,2.48528,0.0015446,0.0015446,0.0015446
48,2279.51,2.38996,2.39893,2.5348,0.31019,0.30826,0.22675,0.09375,2.21691,2.40338,2.47319,0.0015347,0.0015347,0.0015347
49,2325.94,2.35843,2.47277,2.5657,0.32187,0.26389,0.21046,0.07828,2.27829,2.47618,2.51576,0.0015248,0.0015248,0.0015248
50,2372.64,2.31935,2.38632,2.50587,0.28895,0.27156,0.19624,0.07208,2.2796,2.47463,2.4912,0.0015149,0.0015149,0.0015149
51,2419.34,2.30285,2.32311,2.47733,0.2676,0.24954,0.18326,0.0657,2.34285,2.50978,2.54732,0.001505,0.001505,0.001505
52,2465.71,2.32195,2.4362,2.52865,0.24955,0.25138,0.1687,0.06614,2.31609,2.48442,2.53136,0.0014951,0.0014951,0.0014951
53,2512.36,2.2822,2.3632,2.45513,0.27053,0.22385,0.16464,0.06417,2.3178,2.53651,2.53135,0.0014852,0.0014852,0.0014852
54,2558.87,2.26221,2.33862,2.44245,0.29557,0.20183,0.14559,0.04992,2.40677,2.72193,2.60847,0.0014753,0.0014753,0.0014753
55,2605,2.25763,2.32649,2.398,0.30011,0.26672,0.2014,0.07981,2.21897,2.39983,2.44372,0.0014654,0.0014654,0.0014654
56,2651.5,2.25525,2.31695,2.39008,0.33848,0.26789,0.22448,0.09134,2.12533,2.63012,2.38962,0.0014555,0.0014555,0.0014555
57,2697.93,2.21413,2.27915,2.41966,0.34627,0.27504,0.22331,0.08779,2.18643,2.48114,2.41176,0.0014456,0.0014456,0.0014456
58,2744.41,2.24357,2.24614,2.37499,0.3187,0.27339,0.21562,0.08364,2.19246,2.37776,2.40835,0.0014357,0.0014357,0.0014357
59,2790.74,2.25525,2.26665,2.41052,0.27245,0.25688,0.18232,0.06818,2.28236,2.3905,2.45147,0.0014258,0.0014258,0.0014258
60,2837.37,2.18643,2.21748,2.30169,0.30612,0.28073,0.22016,0.09,2.10885,2.34053,2.34965,0.0014159,0.0014159,0.0014159
61,2883.7,2.21982,2.22577,2.36317,0.35716,0.25505,0.25,0.09685,2.15635,2.36189,2.37618,0.001406,0.001406,0.001406
62,2930.22,2.20341,2.2414,2.37733,0.42466,0.29541,0.27348,0.11727,2.1318,2.2838,2.37629,0.0013961,0.0013961,0.0013961
63,2976.57,2.13992,2.24883,2.36131,0.40101,0.27523,0.26722,0.11565,2.1087,2.30934,2.37684,0.0013862,0.0013862,0.0013862
64,3023.34,2.1863,2.26938,2.33655,0.37495,0.28073,0.26005,0.11481,2.11126,2.29083,2.36663,0.0013763,0.0013763,0.0013763
65,3069.99,2.12162,2.24333,2.3165,0.33256,0.25688,0.23301,0.1031,2.16146,2.36583,2.37028,0.0013664,0.0013664,0.0013664
66,3116.68,2.16689,2.29429,2.34786,0.42577,0.32294,0.29292,0.12146,2.1282,2.2302,2.33202,0.0013565,0.0013565,0.0013565
